data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085008,Marianopoli,37.597446,13.915763,,0,0,2,2,,,4,1,7,,,,,,
2021-03-02,CL,085008,Marianopoli,37.597446,13.915763,,0,0,2,2,0,0,4,1,7,,,,,,
2021-03-03,CL,085008,Marianopoli,37.597446,13.915763,,0,0,2,2,0,0,4,1,7,,,,,,
2021-03-04,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,-2,0,6,1,7,,,,,,
2021-03-05,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-06,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-07,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-08,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-09,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-10,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-11,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-13,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-14,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-15,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-16,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-17,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-18,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-19,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-20,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-21,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-22,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-23,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-24,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-25,CL,085008,Marianopoli,37.597446,13.915763,,0,0,0,0,0,0,6,1,7,,,,,,
2021-03-26,CL,085008,Marianopoli,37.597446,13.915763,,0,0,1,1,1,1,6,1,8,,,,,,
2021-03-27,CL,085008,Marianopoli,37.597446,13.915763,,0,0,1,1,0,0,6,1,8,,,,,,
2021-03-28,CL,085008,Marianopoli,37.597446,13.915763,,0,0,1,1,0,0,6,1,8,,,,,,
2021-03-29,CL,085008,Marianopoli,37.597446,13.915763,,0,0,1,1,0,0,6,1,8,,,,,,
2021-03-30,CL,085008,Marianopoli,37.597446,13.915763,,0,0,3,3,2,2,6,1,10,,,,,,
2021-03-31,CL,085008,Marianopoli,37.597446,13.915763,,0,0,3,3,0,0,6,1,10,,,,,,
2021-04-04,CL,085008,Marianopoli,37.597446,13.915763,,0,0,6,6,3,3,6,1,13,,,,,,
