data,sigla_provincia,codice_comune,denominazione_comune,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-03-01,CL,085018,Serradifalco,37.453843,13.880463,,0,0,1,1,,,85,1,87,,,,,,
2021-03-02,CL,085018,Serradifalco,37.453843,13.880463,,0,0,1,1,0,0,85,1,87,,,,,,
2021-03-03,CL,085018,Serradifalco,37.453843,13.880463,,0,0,5,5,4,5,86,1,92,,,,,,
2021-03-04,CL,085018,Serradifalco,37.453843,13.880463,,0,0,5,5,0,0,86,1,92,,,,,,
2021-03-05,CL,085018,Serradifalco,37.453843,13.880463,,0,0,5,5,0,0,86,1,92,,,,,,
2021-03-06,CL,085018,Serradifalco,37.453843,13.880463,,0,0,15,15,10,10,86,1,102,,,,,,
2021-03-07,CL,085018,Serradifalco,37.453843,13.880463,,0,0,15,15,0,0,86,1,102,,,,,,
2021-03-08,CL,085018,Serradifalco,37.453843,13.880463,,0,0,16,16,1,1,86,1,103,,,,,,
2021-03-09,CL,085018,Serradifalco,37.453843,13.880463,,0,0,18,18,2,2,86,1,105,,,,,,
2021-03-10,CL,085018,Serradifalco,37.453843,13.880463,,0,0,21,21,3,3,86,1,108,,,,,,
2021-03-11,CL,085018,Serradifalco,37.453843,13.880463,,0,0,27,27,6,6,86,1,114,,,,,,
2021-03-13,CL,085018,Serradifalco,37.453843,13.880463,,0,1,38,39,12,13,87,1,127,,,,,,
2021-03-14,CL,085018,Serradifalco,37.453843,13.880463,,0,1,38,39,0,0,87,1,127,,,,,,
2021-03-15,CL,085018,Serradifalco,37.453843,13.880463,,0,1,44,45,6,6,87,1,133,,,,,,
2021-03-16,CL,085018,Serradifalco,37.453843,13.880463,,0,1,44,45,0,2,89,1,135,,,,,,
2021-03-17,CL,085018,Serradifalco,37.453843,13.880463,,0,1,43,44,-1,0,90,1,135,,,,,,
2021-03-18,CL,085018,Serradifalco,37.453843,13.880463,,0,1,50,51,7,7,90,1,142,,,,,,
2021-03-19,CL,085018,Serradifalco,37.453843,13.880463,,0,1,50,51,0,0,90,1,142,,,,,,
2021-03-20,CL,085018,Serradifalco,37.453843,13.880463,,0,1,51,52,1,1,90,1,143,,,,,,
2021-03-21,CL,085018,Serradifalco,37.453843,13.880463,,0,1,51,52,0,0,90,1,143,,,,,,
2021-03-22,CL,085018,Serradifalco,37.453843,13.880463,,0,2,56,58,6,7,91,1,150,,,,,,
2021-03-23,CL,085018,Serradifalco,37.453843,13.880463,,0,2,56,58,0,0,91,1,150,,,,,,
2021-03-24,CL,085018,Serradifalco,37.453843,13.880463,,0,2,62,64,6,7,92,1,157,,,,,,
2021-03-25,CL,085018,Serradifalco,37.453843,13.880463,,0,2,62,64,0,0,92,1,157,,,,,,
2021-03-26,CL,085018,Serradifalco,37.453843,13.880463,,0,3,62,65,1,1,92,1,158,,,,,,
2021-03-27,CL,085018,Serradifalco,37.453843,13.880463,,1,3,62,65,0,0,92,1,158,,,,,,
2021-03-28,CL,085018,Serradifalco,37.453843,13.880463,,1,3,55,58,-7,3,102,1,161,,,,,,
2021-03-29,CL,085018,Serradifalco,37.453843,13.880463,,1,3,58,61,3,3,102,1,164,,,,,,
2021-03-30,CL,085018,Serradifalco,37.453843,13.880463,,2,3,55,58,-3,1,106,1,165,,,,,,
2021-03-31,CL,085018,Serradifalco,37.453843,13.880463,,2,3,52,55,-3,1,110,1,166,,,,,,
2021-04-04,CL,085018,Serradifalco,37.453843,13.880463,,1,1,44,45,-10,1,120,2,167,,,,,,
2021-04-05,CL,085018,Serradifalco,37.453843,13.880463,,1,1,44,45,0,0,120,2,167,,,,,,
2021-04-06,CL,085018,Serradifalco,37.453843,13.880463,,1,1,40,41,-4,1,125,2,168,,,,,,
2021-04-07,CL,085018,Serradifalco,37.453843,13.880463,,1,1,38,39,-2,0,127,2,168,,,,,,
2021-04-08,CL,085018,Serradifalco,37.453843,13.880463,,1,1,39,40,1,1,127,2,169,,,,,,
2021-04-09,CL,085018,Serradifalco,37.453843,13.880463,,1,1,43,44,4,11,134,2,180,,,,,,
2021-04-10,CL,085018,Serradifalco,37.453843,13.880463,,1,1,35,36,-8,0,142,2,180,,,,,,
2021-04-12,CL,085018,Serradifalco,37.453843,13.880463,,1,1,34,35,-1,4,147,2,184,,,,,,
2021-04-13,CL,085018,Serradifalco,37.453843,13.880463,,1,1,35,36,1,2,148,2,186,,,,,,
2021-04-14,CL,085018,Serradifalco,37.453843,13.880463,,1,1,35,36,0,0,148,2,186,,,,,,
2021-04-15,CL,085018,Serradifalco,37.453843,13.880463,,1,1,35,36,0,0,148,2,186,,,,,,
2021-04-16,CL,085018,Serradifalco,37.453843,13.880463,,1,1,38,39,3,3,148,2,189,,,,,,
2021-04-17,CL,085018,Serradifalco,37.453843,13.880463,,1,1,46,47,8,8,148,2,197,,,,,,
2021-04-22,CL,085018,Serradifalco,37.453843,13.880463,,0,0,42,42,-5,14,166,3,211,,,,,,
2021-04-23,CL,085018,Serradifalco,37.453843,13.880463,,0,0,42,42,0,1,167,3,212,,,,,,
2021-04-24,CL,085018,Serradifalco,37.453843,13.880463,,0,0,46,46,4,4,167,3,216,,,,,,
2021-04-27,CL,085018,Serradifalco,37.453843,13.880463,,0,2,54,56,10,16,173,3,232,,,,,,
2021-04-28,CL,085018,Serradifalco,37.453843,13.880463,,1,2,50,52,-4,0,177,3,232,,,,,,
2021-04-29,CL,085018,Serradifalco,37.453843,13.880463,,1,3,50,53,1,1,177,3,233,,,,,,
2021-04-30,CL,085018,Serradifalco,37.453843,13.880463,,1,3,49,52,-1,0,178,3,233,,,,,,
2021-05-01,CL,085018,Serradifalco,37.453843,13.880463,,1,3,47,50,-2,2,182,3,235,,,,,,
2021-05-02,CL,085018,Serradifalco,37.453843,13.880463,,1,3,46,49,-1,0,183,3,235,,,,,,
2021-05-04,CL,085018,Serradifalco,37.453843,13.880463,,1,3,52,55,6,9,186,3,244,,,,,,
2021-05-07,CL,085018,Serradifalco,37.453843,13.880463,,0,2,54,56,1,12,196,4,256,,,,,,
2021-05-10,CL,085018,Serradifalco,37.453843,13.880463,,0,3,30,33,-23,1,220,4,257,,,,,,
2021-05-15,CL,085018,Serradifalco,37.453843,13.880463,,0,3,23,26,-7,3,230,4,260,,,,,,
